,1,2,3,4,5,6,7,8,9,10,arpd
2-30-10000-1-9,0.841514726508,0.748013090229,0.911640953717,0.958391771856,1.02851799906,1.09864422627,0.935016362786,1.09864422627,0.958391771856,0.67788686302,0.925666199158
2-30-10000-2-8,1.54422087038,1.33364529715,0.912494150679,1.16986429574,1.16986429574,1.05287786617,1.33364529715,1.05287786617,0.818905007019,1.00608329434,1.13944782405
2-40-10000-1-7,1.46419583619,1.44131777625,1.44131777625,1.48707389613,1.37268359643,1.96751315488,1.55570807596,1.25829329673,1.44131777625,1.55570807596,1.4985129261
2-40-10000-2-6,1.23400365631,1.98811700183,1.55393053016,1.39396709324,1.66819012797,1.23400365631,1.05118829982,1.43967093236,1.59963436929,1.1197440585,1.42824497258
2-50-10000-1-5,1.0571300045,1.30454340981,1.61943319838,1.41700404858,1.12460638776,1.57444894287,1.52946468736,1.10211426001,1.46198830409,1.64192532614,1.38326585695
2-50-10000-2-4,1.46330481765,1.44079243584,1.73345339937,1.37325529041,1.53084196308,1.39576767222,1.53084196308,1.59837910851,1.14813147231,1.48581719946,1.47005853219
20-10-10000-1-9,0.127795527157,0.0638977635783,0.166134185304,0.0511182108626,0.115015974441,0.038338658147,0.0766773162939,0.0894568690096,0.127795527157,0.102236421725,0.0958466453674
20-20-10000-1-7,0.441422094965,0.286327845383,0.167024576473,0.477213075638,0.36984013362,0.417561441183,0.465282748747,0.322118826056,0.405631114293,0.262467191601,0.361488904796
20-30-10000-1-5,0.301834223357,0.17413512886,0.301834223357,0.417924309264,0.208962154632,0.267007197585,0.197353146041,0.383097283492,0.255398188995,0.452751335036,0.296029719062
20-40-10000-1-3,0.331580150926,0.343013949234,0.354447747542,0.297278756003,0.377315344157,0.297278756003,0.388749142465,0.217242167848,0.354447747542,0.320146352618,0.328150011434
20-50-10000-1-1,0.396151669496,0.44142614601,0.464063384267,0.396151669496,0.328239954726,0.339558573854,0.362195812111,0.475382003396,0.452744765139,0.396151669496,0.405206564799
4-20-10000-1-2,0.950570342205,0.665399239544,0.697084917617,0.823827629911,0.63371356147,0.697084917617,0.760456273764,0.63371356147,0.855513307985,0.712927756654,0.743029150824
4-20-10000-2-3,0.242130750605,0.201775625504,0.383373688458,0.221953188055,0.282485875706,0.181598062954,0.141242937853,0.302663438257,0.262308313156,0.221953188055,0.24414850686
4-30-10000-1-1,0.612276136538,0.474514005817,0.627583039951,0.53574161947,0.627583039951,0.872493494566,0.581662329711,0.566355426297,0.505127812644,0.520434716057,0.5923771621
4-30-10000-2-0,0.340613103586,0.340613103586,0.340613103586,0.32057703867,0.300540973753,0.280504908836,0.300540973753,0.38068523342,0.260468843919,0.280504908836,0.314566219195
4-40-10000-1-9,0.630630630631,0.660660660661,0.795795795796,0.720720720721,0.660660660661,0.780780780781,0.735735735736,0.825825825826,0.855855855856,0.765765765766,0.743243243243
4-40-10000-2-8,0.200040008002,0.220044008802,0.180036007201,0.200040008002,0.160032006401,0.140028005601,0.220044008802,0.160032006401,0.200040008002,0.180036007201,0.186037207441
4-50-10000-1-7,0.784720165828,0.91797453361,0.88836245188,0.858750370151,0.769914124963,1.0068107788,0.829138288422,0.962392656204,0.977198697068,0.799526206692,0.879478827362
4-50-10000-2-6,0.0799680127949,0.0799680127949,0.0599760095962,0.0799680127949,0.0599760095962,0.0799680127949,0.119952019192,0.0799680127949,0.0599760095962,0.0799680127949,0.077968812475
average,,,,,,,,,,,0.690145646631
