instance,1,2,3,4,5,6,7,8,9,10,arpd
2-30-10000-1-9,0.140252454418,0.140252454418,0.140252454418,0.187003272557,0.187003272557,0.140252454418,0.140252454418,0.140252454418,0.163627863488,0.140252454418,0.151940158953
2-30-10000-2-8,0.561534861956,0.561534861956,0.608329433786,0.491343004212,0.514740290126,0.561534861956,0.538137576041,0.67852129153,0.397753860552,0.491343004212,0.540477304633
2-40-10000-1-7,0.320292839167,0.274536719286,0.297414779227,0.320292839167,0.274536719286,0.297414779227,0.320292839167,0.274536719286,0.320292839167,0.251658659346,0.295126973233
2-40-10000-2-6,0.594149908592,0.73126142596,0.776965265082,0.594149908592,0.617001828154,0.571297989031,0.54844606947,0.685557586837,0.479890310786,0.73126142596,0.632998171846
2-50-10000-1-5,0.269905533063,0.292397660819,0.269905533063,0.247413405308,0.292397660819,0.292397660819,0.292397660819,0.292397660819,0.269905533063,0.247413405308,0.27665317139
2-50-10000-2-4,0.87798289059,0.92300765421,0.92300765421,0.78793336335,0.83295812697,0.72039621792,0.81044574516,0.87798289059,0.81044574516,0.85547050878,0.841963079694
20-10-10000-1-9,0.0638977635783,0.0511182108626,0.0894568690096,0.0638977635783,0.0511182108626,0.0511182108626,0.0638977635783,0.038338658147,0.0511182108626,0.0766773162939,0.0600638977636
20-20-10000-1-7,0.0954426151277,0.107372942019,0.107372942019,0.11930326891,0.0835122882367,0.0835122882367,0.131233595801,0.0835122882367,0.11930326891,0.0835122882367,0.101407778573
20-30-10000-1-5,0.0812630601347,0.0928720687253,0.0812630601347,0.0812630601347,0.0928720687253,0.0812630601347,0.104481077316,0.0812630601347,0.0928720687253,0.0928720687253,0.0882284652891
20-40-10000-1-3,0.114337983078,0.10290418477,0.114337983078,0.10290418477,0.0914703864624,0.10290418477,0.10290418477,0.114337983078,0.10290418477,0.114337983078,0.106334324263
20-50-10000-1-1,0.14714204867,0.158460667799,0.14714204867,0.14714204867,0.135823429542,0.101867572156,0.135823429542,0.124504810413,0.169779286927,0.158460667799,0.142614601019
4-20-10000-1-2,0.0950570342205,0.142585551331,0.174271229404,0.221799746515,0.126742712294,0.190114068441,0.158428390368,0.142585551331,0.110899873257,0.174271229404,0.153675538657
4-20-10000-2-3,0.0403551251009,0.0807102502018,0.0807102502018,0.100887812752,0.0605326876513,0.0807102502018,0.0807102502018,0.0807102502018,0.0807102502018,0.100887812752,0.0786924939467
4-30-10000-1-1,0.137762130721,0.122455227308,0.107148323894,0.137762130721,0.153069034134,0.137762130721,0.137762130721,0.122455227308,0.153069034134,0.137762130721,0.134700750038
4-30-10000-2-0,0.180324584252,0.160288519335,0.180324584252,0.140252454418,0.160288519335,0.220396714085,0.160288519335,0.180324584252,0.140252454418,0.180324584252,0.170306551793
4-40-10000-1-9,0.195195195195,0.21021021021,0.21021021021,0.195195195195,0.21021021021,0.225225225225,0.195195195195,0.18018018018,0.21021021021,0.195195195195,0.202702702703
4-40-10000-2-8,0.100020004001,0.120024004801,0.0800160032006,0.0800160032006,0.0800160032006,0.100020004001,0.100020004001,0.100020004001,0.0800160032006,0.100020004001,0.0940188037608
4-50-10000-1-7,0.207284572105,0.22209061297,0.207284572105,0.22209061297,0.192478531241,0.22209061297,0.236896653835,0.207284572105,0.22209061297,0.236896653835,0.217648800711
4-50-10000-2-6,0.0399840063974,0.0199920031987,0.0199920031987,0.0399840063974,0.0199920031987,0.0199920031987,0.0199920031987,0.0399840063974,0.0199920031987,0.0399840063974,0.0279888044782
average,,,,,,,,,,,0.22723907225
