instance,1,2,3,4,5,6,7,8,9,10,arpd
2-30-10000-1-9,0.280504908836,0.257129499766,0.280504908836,0.303880317906,0.303880317906,0.303880317906,0.420757363254,0.257129499766,0.374006545115,0.303880317906,0.308555399719
2-30-10000-2-8,0.421151146467,0.421151146467,0.608329433786,0.444548432382,0.397753860552,0.538137576041,0.444548432382,0.421151146467,0.538137576041,0.444548432382,0.467945718297
2-40-10000-1-7,0.526195378632,0.526195378632,0.549073438572,0.526195378632,0.526195378632,0.503317318691,0.503317318691,0.526195378632,0.549073438572,0.571951498513,0.53077099062
2-40-10000-2-6,0.479890310786,0.502742230347,0.54844606947,0.525594149909,0.502742230347,0.54844606947,0.457038391225,0.411334552102,0.662705667276,0.502742230347,0.514168190128
2-50-10000-1-5,0.494826810616,0.517318938372,0.472334682861,0.449842555106,0.472334682861,0.494826810616,0.404858299595,0.449842555106,0.449842555106,0.472334682861,0.46783625731
2-50-10000-2-4,0.69788383611,0.6753714543,0.6753714543,0.6753714543,0.63034669068,0.72039621792,0.74290859973,0.65285907249,0.74290859973,0.69788383611,0.691130121567
20-10-10000-1-9,0.0766773162939,0.0255591054313,0.0511182108626,0.0511182108626,0.0638977635783,0.0766773162939,0.0638977635783,0.038338658147,0.0766773162939,0.0511182108626,0.0575079872204
20-20-10000-1-7,0.11930326891,0.107372942019,0.143163922691,0.0835122882367,0.0954426151277,0.143163922691,0.0835122882367,0.0954426151277,0.0835122882367,0.11930326891,0.107372942019
20-30-10000-1-5,0.116090085907,0.127699094497,0.127699094497,0.116090085907,0.104481077316,0.116090085907,0.0928720687253,0.116090085907,0.0928720687253,0.0928720687253,0.110285581611
20-40-10000-1-3,0.137205579694,0.182940772925,0.137205579694,0.137205579694,0.148639378001,0.114337983078,0.148639378001,0.137205579694,0.148639378001,0.171506974617,0.14635261834
20-50-10000-1-1,0.158460667799,0.215053763441,0.158460667799,0.192416525184,0.158460667799,0.181097906055,0.169779286927,0.181097906055,0.203735144312,0.181097906055,0.179966044143
4-20-10000-1-2,0.221799746515,0.190114068441,0.221799746515,0.285171102662,0.269328263625,0.221799746515,0.269328263625,0.174271229404,0.237642585551,0.237642585551,0.23288973384
4-20-10000-2-3,0.0605326876513,0.121065375303,0.100887812752,0.121065375303,0.100887812752,0.100887812752,0.141242937853,0.121065375303,0.121065375303,0.100887812752,0.108958837772
4-30-10000-1-1,0.214296647788,0.214296647788,0.275524261442,0.244910454615,0.260217358028,0.214296647788,0.275524261442,0.321444971682,0.229603551202,0.244910454615,0.249502525639
4-30-10000-2-0,0.180324584252,0.160288519335,0.160288519335,0.160288519335,0.200360649169,0.180324584252,0.180324584252,0.180324584252,0.180324584252,0.180324584252,0.176317371268
4-40-10000-1-9,0.33033033033,0.36036036036,0.33033033033,0.33033033033,0.36036036036,0.3003003003,0.345345345345,0.33033033033,0.315315315315,0.36036036036,0.336336336336
4-40-10000-2-8,0.100020004001,0.120024004801,0.100020004001,0.120024004801,0.100020004001,0.120024004801,0.140028005601,0.120024004801,0.120024004801,0.0800160032006,0.112022404481
4-50-10000-1-7,0.370151021617,0.370151021617,0.340538939887,0.355344980752,0.340538939887,0.340538939887,0.355344980752,0.340538939887,0.355344980752,0.370151021617,0.353864376666
4-50-10000-2-6,0.0399840063974,0.0199920031987,0.0199920031987,0.0599760095962,0.0399840063974,0.0399840063974,0.0599760095962,0.0399840063974,0.0199920031987,0.0399840063974,0.0379848060776
average,,,,,,,,,,,0.273145697003
